Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,Chum,Pink,TempC
Willamette Falls,3/1/2009,,,,14,,,,,,,,,,
Willamette Falls,3/2/2009,,,,87,,,,,,,,,,5
Willamette Falls,3/3/2009,,,,100,,,,,,,,,,5
Willamette Falls,3/4/2009,,,,107,,,,,,,,,,5.6
Willamette Falls,3/5/2009,,,,123,,,,,,,,,,6.1
Willamette Falls,3/6/2009,,,,80,,,,,,,,,,
Willamette Falls,3/7/2009,,1,,28,,,,,,,,,,
Willamette Falls,3/8/2009,,,,15,,,,,,,,,,6.1
Willamette Falls,3/9/2009,,,,18,,,,,,,,,,6.1
Willamette Falls,3/10/2009,,,,9,,,,,,,,,,6.7
Willamette Falls,3/11/2009,,,,8,,,,,,,,,,6.7
Willamette Falls,3/12/2009,,,,3,,,,,,,,,,5.6
Willamette Falls,3/13/2009,,1,,5,,,,,,,,,,5.6
Willamette Falls,3/14/2009,,1,,10,,,,,,,,,,
Willamette Falls,3/15/2009,,2,,9,,,,,,,,,,
Willamette Falls,3/16/2009,,1,,22,,,,,,,,,,6.1
Willamette Falls,3/17/2009,,,,15,,,,,,,,,,6.1
Willamette Falls,3/18/2009,,,,22,,,,,,,,,,6.7
Willamette Falls,3/19/2009,,,,69,,,,,,,,,,6.7
Willamette Falls,3/20/2009,,,,88,,,,,,,,,,7.8
Willamette Falls,3/21/2009,,2,,89,,,,,,,,,,
Willamette Falls,3/22/2009,,3,,47,,,,,,,,,,
Willamette Falls,3/23/2009,,1,,27,,,,,,,,,,8.9
Willamette Falls,3/24/2009,,1,,35,,,,,,,,,,8.9
Willamette Falls,3/25/2009,,,,11,,,,,,,,,,8.3
Willamette Falls,3/26/2009,,,,20,,,,,,,,,,8.3
Willamette Falls,3/27/2009,,1,,27,,,,,,,,,,
Willamette Falls,3/28/2009,,1,,36,,,,,,,,,,
Willamette Falls,3/29/2009,,3,,52,,,,,,,,,,
Willamette Falls,3/30/2009,,,,26,,,,,,,,,,8.9
Willamette Falls,3/31/2009,,1,,32,,,,,,,,,,8.9
Willamette Falls,4/1/2009,,1,,15,,,,,,,,,,7.2
Willamette Falls,4/2/2009,,2,,20,,,,,,,,,,7.2
Willamette Falls,4/3/2009,,1,,30,,,,,,,,,,6.1
Willamette Falls,4/4/2009,,,,22,,,,,,,,,,
Willamette Falls,4/5/2009,,9,,24,,,,,,,,,,
Willamette Falls,4/6/2009,,9,,39,,,,,,,,,,8.9
Willamette Falls,4/7/2009,,5,,47,,,,,,,,,,9.4
Willamette Falls,4/8/2009,,5,,94,,,,,,,,,,10
Willamette Falls,4/9/2009,,16,,69,,,,,,,,,,10
Willamette Falls,4/10/2009,,12,,21,,,,,,,,,,10
Willamette Falls,4/11/2009,,23,,29,,,,,,,,,,
Willamette Falls,4/12/2009,,34,,25,,,,,,,,,,
Willamette Falls,4/13/2009,,27,,31,,,,,,,,,,10
Willamette Falls,4/14/2009,,5,,29,,,,,,,,,,9.4
Willamette Falls,4/15/2009,,10,,21,,,,,,,,,,9.4
Willamette Falls,4/16/2009,,5,,17,,,,,,,,,,8.9
Willamette Falls,4/17/2009,,9,,24,,,,,,,,,,
Willamette Falls,4/18/2009,,26,,34,,,,,,,,,,
Willamette Falls,4/19/2009,,58,,40,,,,,,,,,,
Willamette Falls,4/20/2009,,160,,162,,,,,,,,,,10.6
Willamette Falls,4/21/2009,,226,,137,,,,,,,,,,11.1
Willamette Falls,4/22/2009,,425,,121,,,,,,,,,,12.2
Willamette Falls,4/23/2009,,310,1,107,,,,,,,,,,13.3
Willamette Falls,4/24/2009,,488,3,77,,,,,,,,,,13.9
Willamette Falls,4/25/2009,,356,3,58,,,,,,,,,,
Willamette Falls,4/26/2009,,178,,52,,,,,,,,,,
Willamette Falls,4/27/2009,,67,2,55,,,,,,,,,,11.7
Willamette Falls,4/28/2009,,22,,35,,,,,,,,,,11.7
Willamette Falls,4/29/2009,,25,,49,,,,,,,,,,10.6
Willamette Falls,4/30/2009,,9,,55,,,,,,,,,,
Willamette Falls,5/1/2009,,158,,55,,,,,,,,,,
Willamette Falls,5/2/2009,,322,2,116,,,,,,,,,,
Willamette Falls,5/3/2009,,1257,11,161,,,,,,,,,,
Willamette Falls,5/4/2009,,642,18,82,,,,,,,,,,12.2
